date,symbol,volume,transaction,open,high,low,close
2026-01-05,3481,536713013,113784,18.8,19.9,18.8,19.9
2026-01-05,2344,435516103,208796,95.0,96.8,91.6,95.5
2026-01-05,6770,389177520,162842,43.6,44.7,42.6,43.45
2026-01-05,2409,264402662,38712,12.9,13.85,12.9,13.85
2026-01-05,0050,232910010,141745,68.1,70.05,68.05,69.5
2026-01-05,1605,152715387,60158,33.5,34.7,33.25,33.6
2026-01-05,00919,147680592,36338,22.4,22.5,22.31,22.42
2026-01-05,00632R,135144074,22273,15.98,15.98,15.65,15.73
2026-01-05,00981A,131759034,28507,16.91,17.01,16.77,16.82
2026-01-05,00878,130805646,38021,21.86,22.0,21.82,21.91
2026-01-05,8422,123463636,52834,32.8,33.8,31.2,31.3
2026-01-05,2408,114428383,63085,211.0,213.0,206.5,208.0
2026-01-05,2887,102245474,18200,20.4,21.25,20.4,21.0
2026-01-05,0052,101052485,40334,39.75,40.87,39.7,40.4
2026-01-05,00991A,89901301,11170,10.47,10.55,10.42,10.43
2026-01-05,8110,85978993,30101,67.8,68.5,65.6,68.5
2026-01-05,0056,82637678,49243,37.17,37.34,37.1,37.13
2026-01-05,1303,82573213,36142,57.2,57.6,55.1,55.6
2026-01-05,2801,81991352,7955,20.5,20.75,20.45,20.45
2026-01-05,2330,76182999,160941,1630.0,1695.0,1625.0,1670.0
2026-01-06,3481,1042548581,271399,20.5,21.85,20.15,21.85
2026-01-06,6770,447327296,158573,43.5,47.75,43.1,47.75
2026-01-06,2344,403567044,190783,95.8,104.5,95.0,104.0
2026-01-06,2337,377247630,124344,49.4,52.4,47.7,52.4
2026-01-06,2409,322393571,47866,14.5,15.2,14.3,15.2
2026-01-06,1605,217071602,97691,34.5,36.75,34.2,36.05
2026-01-06,2408,154970722,115992,214.0,228.5,213.0,228.5
2026-01-06,8110,139326762,77977,69.3,75.0,67.0,73.4
2026-01-06,0050,130176548,94772,69.45,70.4,68.95,70.4
2026-01-06,00878,97302737,26892,21.97,22.02,21.94,22.0
2026-01-06,00919,97132930,23060,22.42,22.56,22.42,22.53
2026-01-06,00981A,96721514,20973,16.83,17.15,16.83,17.15
2026-01-06,8422,92255268,35224,31.55,33.0,31.4,31.75
2026-01-06,2313,84158760,50631,96.2,103.5,96.2,103.5
2026-01-06,1303,83828180,39997,56.3,59.4,56.3,58.9
2026-01-06,1717,83779541,35879,49.6,50.7,46.55,50.7
2026-01-06,0052,77151705,30874,40.27,41.1,40.2,41.1
2026-01-06,00637L,69249060,7240,21.22,21.55,21.14,21.48
2026-01-06,2317,68919645,82940,237.0,239.0,232.5,236.0
2026-01-06,00991A,65350033,8343,10.45,10.69,10.45,10.69
2026-01-07,2409,852102789,153022,16.4,16.7,15.8,16.7
2026-01-07,6770,535325591,193370,50.0,50.5,48.0,49.2
2026-01-07,2337,465772691,162380,57.0,57.6,53.0,57.6
2026-01-07,3481,358140346,149501,22.55,23.6,21.0,22.15
2026-01-07,2344,351786974,160207,109.0,110.5,104.5,106.5
2026-01-07,1605,264591244,92593,37.3,39.65,37.3,39.65
2026-01-07,2303,232693576,80355,50.8,54.1,50.7,54.1
2026-01-07,1303,206471229,84501,60.1,64.7,60.0,64.7
2026-01-07,00919,182795717,35877,22.59,22.93,22.59,22.92
2026-01-07,2408,166211293,104140,242.0,248.0,230.0,241.0
2026-01-07,8422,162827918,50090,32.55,34.9,32.35,34.9
2026-01-07,00981A,152011152,47055,17.26,17.29,16.81,16.9
2026-01-07,2313,141522055,79611,103.5,112.5,99.5,110.5
2026-01-07,1717,127396434,57392,51.2,55.7,50.7,55.7
2026-01-07,0050,122267721,132657,70.4,70.45,69.7,69.85
2026-01-07,00878,118841862,30409,22.04,22.23,22.03,22.2
2026-01-07,8112,113299383,68729,80.0,86.5,78.7,84.5
2026-01-07,2367,102198332,47998,29.3,31.65,28.8,31.65
2026-01-07,2002,101684058,27970,18.65,19.45,18.6,19.45
2026-01-07,00940,93423386,11791,9.35,9.45,9.34,9.43
