date,symbol,volume,transaction,open,high,low,close
2025-12-01,00981A,235389249,55959,16.16,16.18,15.82,15.88
2025-12-01,1303,234435298,120233,63.1,63.9,59.5,61.1
2025-12-01,1802,209940502,85913,36.45,36.8,33.3,35.25
2025-12-01,6770,164700403,62381,34.5,35.0,33.1,34.0
2025-12-01,8110,122474120,57535,37.05,40.6,37.0,40.6
2025-12-01,2485,116824786,40255,23.8,25.8,22.4,22.75
2025-12-01,2344,113248893,54059,57.9,59.0,56.3,57.6
2025-12-01,0052,103756610,73920,35.8,35.81,35.35,35.36
2025-12-01,0050,103003085,105261,61.8,61.95,61.4,61.5
2025-12-01,2408,97816970,55535,147.0,152.0,144.0,149.5
2025-12-01,8039,86397191,52889,80.0,85.0,76.5,82.6
2025-12-01,00715L,77971940,5176,10.36,10.52,10.32,10.52
2025-12-01,3037,71599696,46636,190.0,201.0,190.0,197.0
2025-12-01,2887,65276984,8304,18.1,18.5,18.1,18.35
2025-12-01,2317,52409098,52888,225.0,226.0,222.0,222.0
2025-12-01,2337,49613738,21722,34.1,34.45,33.1,33.85
2025-12-01,1605,48838319,20292,29.65,30.05,29.35,29.4
2025-12-01,00982A,48405326,15003,13.76,13.76,13.51,13.54
2025-12-01,3481,48391046,8356,13.5,13.8,13.5,13.6
2025-12-01,00953B,45664402,4520,9.73,9.76,9.73,9.75
2025-12-02,1802,270786606,106240,35.3,37.7,34.7,37.1
2025-12-02,1303,234676835,115090,61.5,65.5,61.3,64.4
2025-12-02,6770,214310269,80452,34.4,34.5,32.75,32.8
2025-12-02,8110,198063183,96825,42.05,43.25,39.05,39.4
2025-12-02,00981A,140458289,32526,16.06,16.18,15.78,15.78
2025-12-02,2337,123097633,45144,36.05,36.05,33.35,33.5
2025-12-02,2408,122170507,59064,152.5,152.5,144.5,149.5
2025-12-02,2344,116743624,50547,58.9,58.9,56.1,56.6
2025-12-02,2887,116002082,15083,18.4,19.0,18.4,18.8
2025-12-02,3481,72212056,12368,13.75,14.0,13.55,14.0
2025-12-02,1605,58217282,23029,29.5,30.5,29.4,29.95
